name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
TCL - ELIT Series ELIT300BL Wired In-Ear Headphones - Midnight Blue,TCL,ELIT300BLNA,6389020,27.99,,,0,in,,1,isolate,,
V-MODA - BassFit Wireless In-Ear Headphones - White,V-MODA,VLCT-WHITE,6320292,129.98,4.4,22,1,in,11,1,isolate,,
Sennheiser - RS 195 RF Wireless Over-the-Ear Headphones - Black,Sennheiser,RS 195,6391352,449.98,4.6,36,1,,,0,isolate,,
Philips - Wireless Over-Ear Noise Canceling Headphones- Black - Black,Philips,TAPH805BK/27,6422038,89,,,1,over,30,1,cancel,,
"BuddyPhones Wave Robot Blue, Waterproof and safe - BLUE",BuddyPhones,24760VRP,6432406,69.99,,,1,,,0,isolate,proof,7.86472E+11
JLab Audio - JBuds Band Wireless In-Ear Headphones - Black,JLab Audio,EBJBUDSBANDRBLK6,6344795,29.99,4.2,210,1,in,8,1,isolate,resist,
BuddyPhones - Cosmos Active Noise Cancellation Headphone - PINK,BuddyPhones,24776VRP,6432436,99.99,,,1,,,0,cancel,,7.27542E+11
JAM - Live Fast Wireless In-Ear Headphones - Black,JAM,HX-EP404BK,6240892,37.99,3.6,339,1,in,12,1,isolate,,
TCL - ELIT Series ELIT400BTWT Wireless Over-the-Ear Headphones - Cement Gray,TCL,ELIT400BTWTNA,6389017,79.99,,,1,,60,1,isolate,,
BuddyPhones - Discover - Pink,BuddyPhones,24778VRP,6432432,14.99,,,0,on,,0,isolate,,7.27542E+11
Jabra - Elite Active 45e Wireless In-Ear Headphones - Black,Jabra,100-99040002-14,6342041,92.99,3.6,78,1,in,9,1,isolate,resist,
JBL - TUNE 110 Wired In-Ear Headphones - Black,JBL,JBLT110BLKAM,6391322,12.99,4.2,10,0,in,,1,isolate,,
JVC - HA SR185 Wired On-Ear Headphones - Black,JVC,HASR185B,6346651,19.99,4.4,256,0,on,,1,isolate,,
MEE audio - Connect T1CMA Wireless Over-the-Ear Headphones - Black,MEE audio,CMB-T1CMA-MEE,6358603,144.99,4.5,117,1,,30,1,isolate,,
MEE audio - Matrix Cinema Wireless Noise Cancelling Over-the-Ear Headphones - Black,MEE audio,HP-AF68-ANC,6353878,149.99,4.6,28,1,,33,1,cancel,,
nura - Nuraloop Wireless Noise Cancelling In-Ear Headphones - Black,nura,E00B,6413763,199.99,3.4,5,1,in,16,1,cancel,resist,
eKids - Star Wars Rise of Skywalker Headphones - Black/Blue,eKids,SW-140R.EXV9M,6357796,19.99,4.4,3788,0,on,,0,isolate,,92298944722
Ausounds - AU Stream Hybrid True Wireless Noise Cancelling Earbuds - Gold,Ausounds,AUSHB101-Gold,6434335,189.99,4.3,3,1,in,20,1,cancel,resist,
eKids - JoJo Siwa Wired On-Ear Headphones - White/Blue/Yellow/Green/Pink,eKids,JJ-M48.FXV7,6005000,29.99,4.4,2206,0,on,,1,isolate,,
Audio-Technica - ATH C200IS Wired Headphones - Black,Audio-Technica,AUD ATHC200ISBK,6381800,19.99,,,0,in,,1,isolate,,
JBL - Club 950NC Wireless Noise Cancelling Over-the-Ear Headphones - Black,JBL,JBLCLUB950NCBLKAM,6408631,169.99,3.3,6,1,,55,1,cancel,,
Samsung - Galaxy Buds Live True Wireless Earbud Headphones - Black,Samsung,SM-R180NZKAXAR,6422916,139.99,4.4,1329,1,in,6,1,cancel,proof,
eKids - Pokemon Wired On-Ear Headphones - Multi,eKids,PK-140.FXV6,5641201,19.99,4.4,2206,0,on,,0,isolate,resist,
Audio-Technica - SonicPro ATH-AVC200 Wired Over-the-Ear Headphones - Black,Audio-Technica,AUD ATHAVC200,6381793,29.99,4.1,12,0,,,0,isolate,,
Sennheiser - HDR 120 RF Wireless On-Ear Headphones - Black,Sennheiser,HDR120,8673223,79.95,3.9,27,1,on,,0,isolate,resist,
